t_index                term    df
7772                donnel     3
7773             unsuspect     1
7774               good-by     4
7775               fullest     4
7776               faraway     3
7777            melancholi     1
7778                 kelli     2
7779           underground     6
7780               forgeri     1
7781           western-mad     1
7782               patriot     4
7783                stasio     1
7784                   ted     3
7785                  hymn     4
7786               harbour     1
7787                   ***     1
7788                pantap     1
7789              landlord     6
7790                  moan     1
7791               insight     1
7792          dictatorship    10
7793                 mafia     3
7794              anti-war     8
7795              nobleman     1
7796                 odium     1
7797                wisnep     1
7798              autonomi     3
7799             reconcili    19
7800                wisnip     1
7801        anti-communist     2
7802            yugaslavia     1
7803                pessag     1
7804                   foe    16
7805                 salay     1
7806                 oklia     1
7807                 immor     1
7808                 qaeda     3
7809             apprehend     4
7810                rashid     2
7811               editori    16
7812                 savag     2
7813                 spare     9
7814              honolulu     1
7815          pan-american     4
7816               sternli     2
7817            al-jazeera     3
7818                  forg     4
7819                  rent    12
7820                tenant     3
7821                accent     2
7822                genuin     5
7823                 ayyam     1
7824             re-enlist     2
7825              whippani     1
7826                 nagel     1
7827                 roman     7
7828              vanquish     2
7829              signatur     7
7830                incent     5
7831            inappropri     9
7832           bush-cheney     2
7833           montoursvil     1
7834              tightest     2
7835           quarter-mil     1
7836                  52nd     1
7837               permiss     3
7838            football-s     1
7839               ill-fat     1
7840                visual     4
7841                gehman    10
7842               parlanc     3
7843                at-sea     3
7844                harold    14
7845               1996-97     3
7846                crouch    12
7847               vietnam    55
7848                replay     1
7849           eyewitnesss     1
7850            afundament     1
7851                 paddl     1
7852                rodger     2
7853              al-jihad     1
7854                  data     4
7855                 shear     2
7856                 navig     2
7857              coastlin     9
7858                  buck     9
7859        unsatisfactori     4
7860                sincer     5
7861             sovereign     2
7862                  laps    16
7863                  weld     7
7864              al-gamaa     2
7865                 rifai     3
7866                ransom     3
7867                  14th     2
7868           al-islamiya     2
7869             bin-laden     1
7870            hadhramaut     6
7871                 luxor     2
7872                 invad     2
7873                 hayat     2
7874         battle-harden     2
7875            compliment     5
7876               massacr     6
7877                  oman     4
7878                  taha     3
7879             nonspecif     1
7880               steskic     1
7881                  hotb     2
7882                   52%     1
7883             arab-look     1
7884                 chain    10
7885                  pete    38
7886                   lar     3
7887                  mold     1
7888                   c-4     4
7889              descript     8
7890                octopu     3
7891         military-styl     1
7892                   wep     2
7893                 blind     8
7894                  yaun     1
7895                airman     1
7896                    ja     3
7897               nastier     1
7898                tanker     2
7899                 safer     2
7900                    gu     1
7901              thirteen     3
7902               buraika     1
7903                 salim     2
7904                sarong     1
7905              brightli     1
7906               militia     2
7907                  seif     2
7908               murousi     1
7909                  gull     1
7910               closabl     1
7911                leftov     4
7912            gladkovich     1
7913               thirdli     1
7914                priest    14
7915               firstli     1
7916                 sebek     4
7917                  fudg     1
7918                 itogi     2
7919                  tube    11
7920                collid     7
7921                armori     3
7922                incens     3
7923                budnev     1
7924                evanel     1
7925          well-respect     1
7926                  ureg     1
7927               drastic     1
7928               biltera     1
7929                 pedro     1
7930                  sear     1
7931                  kati     3
7932                 hydra     1
7933                sketch    11
7934                geeman     1
7935                sallah     1
7936                 arsen    10
7937            metal-cutt     1
7938                  pace    10
7939                convey     3
7940              stranger     6
7941               abreast     1
7942                 taint    10
7943               alabama     5
7944                 r-kan     1
7945               mansoob     1
7946                 porou     1
7947               suscept     2
7948              shortcom     4
7949                  jeff     4
7950                oldest     9
7951               takeoff     1
7952                   sob     3
7953                  hors     6
7954                  russ     1
7955               caisson     1
7956                 danni     1
7957       daughter-in-law     2
7958               stirrup     1
7959                 widow    45
7960                 reded     1
7961               emanuel     1
7962           state-build     1
7963                 marbl     2
7964              solemnli     1
7965              long-tim     4
7966              symphoni     1
7967             riderless     1
7968                 debra     2
7969                 eulog     3
7970            procession     1
7971               cleaver     1
7972                 canon     1
7973            missourian     6
7974              eagleton     1
7975                 mager     1
7976               quartet     1
7977               cluster     4
7978              reassess     1
7979                moorin     1
7980              costello     1
7981               serafin     1
7982                   rtj     1
7983                 barri     1
7984             arlington     8
7985              hands-on     4
7986             southwest    19
7987               default     3
7988                 induc     2
7989               harshli     3
7990                marija     1
7991                 djila     1
7992               timocka     1
7993              foreclos     1
7994               zajecar     1
7995                aleksa     1
7996             schroeder     6
7997                 rumor    31
7998            chancellor     5
7999               denounc    13
8000               gerhard     5
8001               woodrow     2
8002                 wrath     2
8003                  aura     1
8004               vecernj     2
8005                passiv     2
8006               tabloid     2
8007             percentag    12
8008               novosti     3
8009        winner-take-al     1
8010                tricki     6
8011          scandinavian     1
8012                 nativ    18
8013             nongovern     2
8014               _refuel     2
8015                  foil     6
8016             incorrect     2
8017           closed-door     6
8018                 blend     4
8019                 erron     3
8020               timelin     4
8021              workboat     1
8022               blew-up     1
8023               untreat     2
8024                 cesar     2
8025            junta-back     6
8026              dominiqu     1
8027              destabil     3
8028             coulibali     9
8029                climat     3
8030                inelig     1
8031             ex-intern     1
8032                verbal     3
8033                 seren     6
8034                escort    10
8035                  sped     4
8036                  sama     3
8037            comprehens     5
8038               charter     7
8039                connel     1
8040                  matt     1
8041                  memo     5
8042                script     3
8043                 drudg     1
8044             non-clear     1
8045            censorship     2
8046                manual     2
8047                  joel     1
8048              typewrit     1
8049                semion     1
8050                  phil     2
8051               crystal     2
8052                  whet     1
8053                 recur     2
8054                   rag     6
8055              cleverli     1
8056                 bravo     4
8057          nonchalantli     1
8058                   pli     1
8059               portsid     1
8060                 skirt     5
8061              midpoint     1
8062                mooney     1
8063            contradict     6
8064            unthreaten     2
8065        putt-putt-putt     1
8066               overtli     1
8067               raymond     4
8068               sequenc     2
8069                 dingi     1
8070            unchalleng     3
8071                 skiff    10
8072                boater     1
8073                brewer     1
8074                 simil     1
8075                 bobbi     6
8076              investor    16
8077                 benni     1
8078                 jason     1
8079                nowher     8
8080           self-absorb     1
8081             enterpris     4
8082                  duel     3
8083                evolut     3
8084                   jay     3
8085              york-new     1
8086               japanes    36
8087                  eeri     2
8088            dishearten     2
8089                 allot     1
8090                 marri     7
8091          subterranean     1
8092                subway     1
8093              agbayani     1
8094                detach     3
8095            standpoint     1
8096                marvel     2
8097                impend     3
8098                 yanke     1
8099              all-star     1
8100                 thorn     1
8101                 perez    13
8102            rosenfield     1
8103                   fun     2
8104                pastim     1
8105                pregam     1
8106                 tyner     1
8107                 selig     1
8108                  timo     1
8109                  shea     1
8110               flatter     1
8111                 pearl     1
8112                  tide     7
8113                payton     1
8114                 alter     8
8115                  swab     1
8116             withdrawn     5
8117                  oasi     2
8118               tarnish     2
8119               plaster     2
8120             liveliest     1
8121              lanviara     1
8122              motorbik     1
8123                lacina     1
8124                mutini     7
8125                 defac     1
8126                 plagu    10
8127                 blare     1
8128               korhogo     8
8129                snappi     1
8130                poster    10
8131               ivorian    24
8132                 uniti    23
8133                  pipe     6
8134         meteorologist     3
8135               regalia     2
8136            haraldseid     1
8137             navrotski     8
8138            hammerfest     1
8139                 ocean    13
8140                 serga     8
8141                dygalo     2
8142              murmansk     5
8143                ii-era     5
8144               thicker     3
8145                 vadim     8
8146           preparatori     1
8147                birger     1
8148               submerg     5
8149                  bled     1
8150             al-nizali     1
8151                  poet     1
8152              mohammad     1
8153              undercov     1
8154           al-sharjani     1
8155               padlock     1
8156               citywid     1
8157                 nabil     1
8158                 noman     1
8159              predgrag     4
8160             truckload     5
8161              stefanov     4
8162              five-day     4
8163                  pdci     6
8164              competit    22
8165                   rdr     5
8166              nonexist     5
8167               turnout    27
8168            disqualifi     6
8169                 dialo     3
8170               blemish     1
8171                drissa     3
8172       round-the-clock     2
8173                  coat     8
8174                  gale     6
8175                enlarg     4
8176                 muffl     3
8177              six-foot     2
8178              steadili     4
8179              sturdier     1
8180             four-inch     2
8181                 ideal    12
8182                 avent     1
8183                  tomb     1
8184               nonstop     4
8185                  carv     9
8186                labori     1
8187                radiat     3
8188               gradual     9
8189                sturdi     1
8190              two-inch     1
8191               reactor     5
8192                dioulo     1
8193                   pit    17
8194                  wodi     1
8195               theodor     2
8196                nicola     8
8197          french-train     1
8198                cocodi     3
8199                    58    24
8200                unesco     1
8201                    eg     1
8202                   fpi     2
8203            undemocrat     3
8204            multiparti     2
8205                albeit     4
8206        now-disqualifi     2
8207                  eros     4
8208                  bema     2
8209                upscal     3
8210                  cede     3
8211              entrench     2
8212               bahg-bo     5
8213        often-thuggish     2
8214               nicodem     2
8215                   zan     2
8216             true-crim     2
8217                 gay-e     3
8218                trickl     4
8219                batter     8
8220                nassou     2
8221            jean-pierr     2
8222                 malic     2
8223                disord     3
8224                 stree     1
8225                  nois     6
8226                nissan     3
8227                miller     6
8228                 clerk     6
8229                retrac     1
8230                corrug     1
8231             walled-in     1
8232               zaharah     1
8233                 goran     6
8234                outpol    16
8235           strikebreak     3
8236             discredit    10
8237           five-candid    10
8238            al-musawah     3
8239                  shab     2
8240              jihadist     2
8241         four-wheel-dr     7
8242          arab-languag     3
8243                 shard     3
8244                outset     4
8245                   rug     5
8246                 lahej     5
8247                  tirm     2
8248              kandahar     3
8249                holder     4
8250                 qatar    15
8251            hahdramaut     1
8252                 immin     5
8253                  hint    10
8254              outboard     3
8255                 khale     4
8256               medinat     2
8257             light-blu     1
8258                  guie     3
8259                  thin     5
8260               rivalri    10
8261             knife-edg     1
8262         working-class     6
8263          little-known     2
8264                    75     7
8265                adoubi     1
8266               richest     2
8267               acronym     1
8268                freder     1
8269                 adjam     2
8270                 alien     3
8271                gbessi     1
8272                 abobo     3
8273              earliest     7
8274                  sore     8
8275              yopougon     5
8276              xenophob     3
8277           next-of-kin     1
8278              kathleen     4
8279             keedysvil     1
8280                  webb     1
8281             smolinski     1
8282              pallbear     1
8283              townsend     1
8284                hankey     1
8285               dakouri     1
8286                   683     4
8287               plummet     6
8288             incomplet     6
8289                   126     2
8290         desire-paulin     1
8291                 tabul     5
8292               dialect     1
8293             robertson     4
8294                mullah     1
8295                endear     1
8296                  rugd     1
8297                  crop     3
8298                   hai     2
8299                  omah     1
8300              cautious     2
8301                   nic     1
8302                 wheat     1
8303               40-page     1
8304                edmond    32
8305               propuls     7
8306              deep-sea     4
8307              proactiv     1
8308               hancock     1
8309                  1984     6
8310               politic     3
8311     missouri-columbia     1
8312                  wych     3
8313              statewid     5
8314                 hardi     2
8315            first-term     2
8316                slogan    12
8317                  rick    19
8318             mathewson     2
8319               encircl     1
8320              poignant     6
8321               refrain     3
8322                komers     2
8323            pedestrian     3
8324                postal     2
8325               dilemma     4
8326                  fray     4
8327               princip     6
8328               trucker     2
8329               plateau     3
8330                  barb     4
8331                tearga     4
8332               ramirez     5
8333                  honk     4
8334                   lui     8
8335               caravan     3
8336                 baboa     1
8337               suspens     9
8338             virginian     1
8339                 ensul     1
8340                 delta     9
8341               baghbel     1
8342                slight     6
8343            ethnocentr     2
8344                foment     3
8345          french-speak     1
8346                   317     1
8347                 felix     9
8348              newscast     7
8349             overthrew     5
8350      houphouet-boigni     6
8351                clumsi     1
8352              ivoirian     6
8353          two-year-old     1
8354                  tenn     8
8355               everett     1
8356                  moin     1
8357            abuzaakouk     1
8358              pregnanc     1
8359                   pac     1
8360             embarrass    10
8361                archer     1
8362                  stat     2
8363                 draft    16
8364                 ralph    10
8365               nashvil     7
8366            shreveport     2
8367                surrog     5
8368                   964     1
8369              buchanan     7
8370                spokan     1
8371                 nader    12
8372            jacksonvil     2
8373                sensit    11
8374               oakland     1
8375        american-islam     1
8376                deport     3
8377               knoxvil     5
8378                   215     5
8379                  capp     1
8380                  r-mo     2
8381             d-sedalia     1
8382               r-calif     1
8383                  bono     1
8384              freshman     5
8385                   loi     1
8386               d-calif     1
8387           congressmen     1
8388                    af     1
8389               prudent     6
8390                   onw     1
8391               centcom     2
8392                compon     2
8393           navcent_pag     2
8394            year-round     1
8395              incirlik     2
8396                 eucom     1
8397               receipt     7
8398                 otpor     2
8399           student-run     1
8400                 inabl     9
8401              furnitur     6
8402               disband     6
8403              nguessan     2
8404                  buss     1
8405                 sheik     5
8406                   153     3
8407                  waft     2
8408               riviera     2
8409        director-gener     2
8410                   afi     2
8411                 bamba     3
8412                gunfir     9
8413                   mud    23
8414                    61     7
8415                    72     7
8416               regroup     5
8417                    02     3
8418                  etat     7
8419               custodi    21
8420               jakarta     1
8421                   mik     1
8422                 seper     1
8423               gunboat     2
8424             threatcon     1
8425                 mooni     1
8426               hillsid    18
8427               mansoon     1
8428               boarder     5
8429            investigat     1
8430              run-down     4
8431                 rober     3
8432               watcher     5
8433                 loron     2
8434                   sue     7
8435               broadli     3
8436                 cheap     1
8437                   mig     1
8438                upsurg     1
8439               dissuas     1
8440           anti-castro     1
8441          compensatori     1
8442                 terri     6
8443                  coey     1
8444        cuban-american     2
8445                 maggi     1
8446                 cooey     1
8447                   isl     1
8448                provis     7
8449             plaintiff     1
8450                  cuba     9
8451             judgement     1
8452                gafney     1
8453                  menu     2
8454                untest     2
8455            supposedli     4
8456         multi-million     1
8457               context    10
8458                frozen     4
8459                overdu     1
8460                 honey     1
8461               sweeten     1
8462               frankli     8
8463              outweigh     2
8464               antagon     1
8465               vinegar     1
8466                 cuban     2
8467                  cord     1
8468                stormi     2
8469               mermosk     1
8470             kuroyedov     5
8471              koryerov     1
8472           environment    11
8473                 umbil     1
8474                eighti     2
8475               murmosk     1
8476                 fatal     8
8477                whittl     2
8478                 gross     2
8479            displeasur     1
8480              jauntier     1
8481                 reeca     1
8482                expuls     1
8483                gregor     4
8484                cragey     3
8485                watson     2
8486             pre-posit     1
8487                 fifti     1
8488                tamper     3
8489                  util     5
8490              thankyou     1
8491          coup-de-tour     1
8492                thrash     1
8493                afibia     1
8494            comparison     9
8495                  nude     1
8496           chrisdorton     1
8497                collat     2
8498                mortar     4
8499             allafrica     1
8500                abijan     1
8501                recomm     1
8502               fraudul     5
8503                picket     5
8504               envelop     1
8505                rahman     2
8506               pittman     1
8507                   hal     1
8508              inadvert     1
8509                  slid     2
8510         evidence-gath     1
8511                ascend     1
8512                 ampli     1
8513                  tern     1
8514                charli     2
8515                  belt     8
8516               conduit     1
8517          moment-by-mo     1
8518               iniquit     1
8519          medium-level     1
8520             faithless     1
8521                jazera     1
8522                 allah     1
8523                unmark     1
8524                 assad     1
8525           fingerprint     5
8526                   dna     5
8527                  flak     1
8528                navy-l     1
8529               conspir     6
8530          head-to-head     2
8531              interced     3
8532                    91     3
8533              necessit     3
8534                infuri     3
8535                  nake     2
8536                 plume     3
8537               conform     1
8538                 unarm     5
8539                  yapi     1
8540                rioter     1
8541                gagnoa     4
8542                  gear    10
8543                lesser     4
8544                merced     3
8545           third-parti     2
8546             threshold     2
8547              pollster     4
8548              full-pag     2
8549             macarthur     1
8550                roswel     1
8551               resound     2
8552             substitut     4
8553                fresno     1
8554                golden     4
8555                  hart     5
8556               brandon     1
8557                  2004     5
8558           focus-group     1
8559               9-point     1
8560                insert     3
8561                   122     1
8562                 uphil     2
8563           once-formid     2
8564                 trove     1
8565                  roug     1
8566               rochest     2
8567            nine-point     1
8568               daytona     1
8569                relish     2
8570               jackson     4
8571               marlton     1
8572                shrunk     1
8573               sanford     1
8574                forese     3
8575               slocomb     1
8576               warplan     5
8577              preposit     1
8578               cruiser     3
8579              pinpoint     2
8580             war-fight     1
8581         norwegian-own     1
8582               akouedo     1
8583             disgruntl     5
8584               gunshot     8
8585                 munit     3
8586            millennium     4
8587              flare-up     1
8588             microscop     2
8589               carpent     7
8590            sealed-off     1
8591               16-inch     1
8592                 proof    11
8593           nuclear-pow     4
8594             constrict     1
8595                 palac    24
8596                lister     1
8597               hardlin     1
8598             imlegitim     1
8599              administ     9
8600                    ri     1
8601                   slm     2
8602                    ai     1
8603                   hen     1
8604                  tote     2
8605                neruda     2
8606                 mutin     1
8607                chirac     6
8608               overrun     2
8609               colonna     1
8610                djikal     1
8611                 homag     1
8612                 coton     1
8613                  drum     1
8614                 befit     1
8615            vote-count     3
8616                   cyr     1
8617            pro-gbagbo     1
8618                 benin     8
8619                defect     2
8620                 jacqu     7
8621              junction     1
8622                worsen     5
8623              farthest     2
8624             uncertain    14
8625              painstak     3
8626              ham-hand     2
8627                entomb     4
8628                reburi     3
8629                  hose     9
8630               planner     2
8631                   rtr     3
8632               man-siz     2
8633               credenc     2
8634                outlet     4
8635            triple-lay     2
8636                motsak     4
8637              undetect     6
8638                 rebuk     3
8639               mikhail     8
8640              oil-dril     1
8641                  taiz     1
8642         third-highest     1
8643                somali     2
8644             rifle-tot     1
8645               fighter    14
8646                  aler     1
8647                thaerz     1
8648               discovi     1
8649              incerlik     1
8650                  twig     1
8651         10-month-long     1
8652              soumaila     1
8653                onetim     2
8654            four-minut     1
8655                  degr     1
8656                litter     3
8657              aluminum     2
8658          christmas-ev     1
8659                 bouak     1
8660               tohouri     1
8661               gendarm     2
8662            grey-beard     1
8663               dislodg     2
8664                 shack     7
8665         vending-stand     1
8666           51-year-old     1
8667                diabak     1
8668               hermann     1
8669                 burnt     3
8670                 alain     1
8671               leprinc     1
8672            overthrown     4
8673              djahouri     1
8674                  duck     2
8675                  heed     9
8676                    ah     1
8677             illegitim     7
8678                karamo     1
8679               reassum     1
8680               jean-yv     1
8681               predawn     1
8682                 hunta     1
8683                 loran     6
8684                  patt     1
8685                satcom     1
8686                shoeed     1
8687                flfing     1
8688              bombshel     1
8689              consensu     9
8690                  vagu     3
8691               obradov     3
8692                  dodg     1
8693                 calib     1
8694                 shame     6
8695            micandinov     1
8696                 bitka     1
8697            kolubarska     1
8698                 sajic     1
8699                  clap     1
8700                 ruegg     1
8701                  1914     1
8702              altogeth     4
8703           unwittingli     2
8704               micunov     1
8705               exhilar     1
8706                gritti     1
8707               milanko     1
8708               folklor     1
8709                 nadia     1
8710      austro-hungarian     1
8711          single-stori     1
8712               dobrica     1
8713                 novel     2
8714                 swoop     1
8715                 shove     5
8716                primit     1
8717                 cosic     1
8718             slavoljub     1
8719              sheepish     1
8720                 famou     4
8721             lazarevac     1
8722               unhappi     4
8723                 nikit     1
8724               ammunit    22
8725                viewer     6
8726             nail-stud     2
8727               siriman     1
8728                 wrack     4
8729                  posh     2
8730                  aida     2
8731                  amad     3
8732              now-oust     3
8733          pro-ouattara     2
8734                 sober     2
8735          northern-bas     3
8736                diallo     2
8737                remedi     1
8738              discount     1
8739           severomorsk     4
8740                eighth    15
8741             itar-tass     4
8742                   tap     9
8743                turbin     3
8744            kolesnikov    13
8745               blindli     5
8746                costli     5
8747           27-year-old     6
8748                dmitri    12
8749            stubbornli     1
8750                 latch     2
8751           hypothermia     2
8752                  tefb     1
8753                    op     1
8754                 weekz     1
8755                 veekz     1
8756               excerpt     5
8757          military-tim     1
8758                  fore     2
8759           semi-offici     1
8760                scrawl     1
8761             interpret     8
8762           pitch-black     1
8763                   aft     3
8764                glimps     6
8765              corridor     2
8766               airlock     1
8767               dimitri     2
8768               reignit     1
8769                 print     5
8770                frigid     1
8771               118-man     1
8772            koleskinov     1
8773                  olga     3
8774                grisli     2
8775    lieutenant-captain     1
8776              premonit     1
8777                 wento     1
8778                   tag     1
8779                bairnt     1
8780           strikebound     5
8781               invalid     7
8782              vojislov     3
8783               tighter     3
8784                   toi     1
8785              palm-siz     1
8786              heaviest     2
8787                  dozo     1
8788             gnassingb     1
8789         post-independ     1
8790            xenophobia     2
8791               tear-ga     1
8792                 thabo     3
8793                 ambit     8
8794                  yaya     1
8795                motley     1
8796                 sekou     1
8797         anti-northern     1
8798               reimpos     1
8799               exploit     7
8800               cleavag     1
8801              co-exist     1
8802               anomali     1
8803                 mbeki     3
8804               eyadema     1
8805                 enact     4
8806              cocktail     3
8807         disenfranchis     3
8808             powerbrok     1
8809                inflam     4
8810               overton     1
8811                  vent     1
8812                  togo     1
8813             unpopular     7
8814               molotov     1
8815               smolder     1
8816           35-year-old     1
8817                canist     2
8818                 traor     1
8819                  upto     1
8820                upheav     5
8821                  lest     1
8822                   59%     1
8823                  keen     2
8824               francoi     1
8825                   80%     1
8826               abstain     1
8827             outgrowth     2
8828                 orano     1
8829                   20%     2
8830             rivasseau     1
8831                tumult     2
8832                  cawl     3
8833                re-run     2
8834             jangonibi     1
8835                backbo     1
8836                forsak     1
8837               reicher     1
8838                alisan     2
8839             broad-bas     2
8840                   7th     2
8841                   6th     1
8842                   8th     5
8843               cryptic     1
8844                  etar     1
8845                  tass     1
8846               dissent     5
8847              franchis     1
8848                  22nd     5
8849                 topic     1
8850            nation-wid     1
8851              standoff     8
8852                 larri    34
8853               chetsov     1
8854              accredit     1
8855                  7000     1
8856           caterpillar     2
8857              politica     1
8858                 lorri     1
8859    government-control     2
8860              persever     3
8861         intelligentia     1
8862               scribbl     3
8863               summari     4
8864              oskinoff     1
8865                morali     1
8866                 miand     1
8867               parvail     1
8868                arseni     1
8869                  tail     1
8870               thescap     1
8871                   dea     1
8872               ofussia     1
8873          miklaszweski     1
8874                toscap     1
8875                   gut     4
8876               kouassi     1
8877              motorist     1
8878               roadsid     2
8879                  ebri     1
8880                  lida     1
8881                 birth     9
8882              blokosso     1
8883                 versu     1
8884                  farc     2
8885               renaiss     2
8886            large-scal     3
8887                poison     7
8888                jospin     1
8889               quieter     2
8890            marble-hal     1
8891                lionel     1
8892               prestig     1
8893                suffoc     4
8894            vyacheslav     4
8895             marchenko     1
8896               firebal     1
8897               crewman     4
8898             disinform     1
8899                 puzzl     8
8900              veronika     1
8901           too-persist     1
8902             snowstorm     2
8903             force-six     1
8904                  jerk     1
8905                  hush     1
8906                 popov     4
8907         anti-militari     1
8908                  beal     1
8909              segodnya     2
8910                stowag     1
8911                tether     2
8912              clifford     2
8913             vote-gett     1
8914              stabenow     5
8915          20-percentag     1
8916                 debbi     5
8917               wxyz-tv     1
8918                 coker     1
8919                  epic     2
8920                  lans     1
8921              februari     3
8922           forty-seven     1
8923                evenli     5
8924                  minu     4
8925          11-percentag     1
8926           mason-dixon     3
8927                    47    11
8928             three-way     1
8929                   mra     2
8930                  robb    17
8931                   627     1
8932            teleconfer     2
8933               swiftli     5
8934                reopen     8
8935               detritu     1
8936               outtara     1
8937               oct2000     1
8938           co-director     1
8939              navpalib     4
8940                urgenc     4
8941                packag     4
8942         gehman-crouch     1
8943                chinfo     4
8944    b10202000_bt648-00     1
8945              margolin     2
8946                postur     4
8947          better-train     1
8948                arisen     1
8949            news_stori     3
8950              slobadon     1
8951           coustunitza     1
8952            montonegro     1
8953                  null     1
8954                gigant     1
8955              shortest     1
8956                    fr     1
8957               posthum     7
8958            tantamount     1
8959                 fagan     1
8960                   ice     3
8961               sticker     2
8962                  arni     1
8963                  dori     1
8964                button     3
8965           gubernatori     3
8966        gore-lieberman     4
8967                  bead     1
8968             squeamish     1
8969             next-door     2
8970      too-close-to-cal     1
8971                 weber     1
8972                  agit     1
8973                  marg     1
8974                  oslo     2
8975                 holtz     1
8976               sealift     1
8977                 ingal     3
8978               harpoon     1
8979               ballast     2
8980               300-ton     1
8981                storag     3
8982            pascagoula     6
8983                  $150     9
8984                   oht     2
8985                 hasti     2
8986                 houri     1
8987               callous     1
8988             forefront     2
8989               chagrin     1
8990              workaday     1
8991                  teem     3
8992                  tuna     1
8993                  _buy     1
8994                 reson     1
8995                 rarer     1
8996              quick-ey     1
8997                mohsen     3
8998              500-mile     2
8999                magnat     3
9000                  lith     1
9001               mustach     2
9002            broad-beam     1
9003                 speci     1
9004               25-foot     1
9005                   925     1
9006               snapper     1
9007                 buyer     2
9008                sayaad     1
9009             unconcern     1
9010                gossip     1
9011                 sirah     1
9012             cross-leg     2
9013           75-horsepow     1
9014                sugari     1
9015                  dusk     2
9016          21st-centuri     1
9017               goliath     1
9018              stevedor     1
9019                 sabaa     1
9020                    c4     1
9021          half-express     1
9022                 haggl     1
9023                 nasir     1
9024                cotton     7
9025              chandler     6
9026            boot-brush     1
9027               inhibit     2
9028                tropic     1
9029                  lain     2
9030               percept     3
9031                  slat     1
9032               firepow     2
9033                  prow     1
9034              asymmetr     2
9035                  awad     2
9036                welder     1
9037                  rial     1
9038                seller     1
9039                  futa     1
9040               boatmen     1
9041             youngster     3
9042                  vest     8
9043                   348     1
9044                  pant     1
9045                tuxedo     1
9046               one-sid     1
9047             allentown     1
9048                   rap     1
9049              double-d     1
9050           mid-septemb     4
9051                  $600     2
9052              appleton     2
9053                rivera     1
9054              alleyway     3
9055                  bend     2
9056                  minn     3
9057                 creek     1
9058            minneapoli     2
9059          philadelphia     3
9060       assisted-suicid     1
9061                   456     2
9062                   ind     2
9063                harley     1
9064                  seiu     1
9065                  1199     1
9066             talk-show     1
9067                  lace     3
9068               chiefli     3
9069               phoenix     3
9070                tossup     3
9071           oregon-styl     1
9072            health-car     1
9073                benton     1
9074            farmington     1
9075           charlestown     1
9076           wilkes-barr     1
9077                syndic     1
9078               latifah     1
9079                  quiz     2
9080                newark     1
9081            pop-cultur     1
9082              dearborn     1
9083             homestead     2
9084               closeup     1
9085              watchdog     2
9086               unfound     3
9087                  dual     1
9088                    76     2
9089                   jeb     2
9090                  lara     5
9091                rebutt     1
9092               articul     1
9093                 abort     7
9094                 subtl     1
9095                 allan     1
9096                 nixon    17
9097            proportion     1
9098            abdurahman     1
9099              push-pol     1
9100              restrain     4
9101             typograph     2
9102                ithaca     2
9103                yorker     3
9104                d-mass     3
9105                 slain    10
9106                 advic     6
9107              alamoudi     1
9108                edward     6
9109                 kerri     2
9110            non-jewish     1
9111                  koch     1
9112                 lazio    15
9113                 smear     3
9114                   ick     2
9115                assail     4
9116                pataki     1
9117                  neck     6
9118             sectarian     2
9119                 asham     1
9120                  gown     3
9121                ardent     4
9122                   155     2
9123                doudou     1
9124                obscen     2
9125              grotesqu     3
9126                  boga     1
9127              motorcad    11
9128               gruesom     2
9129                  boot     4
9130                lessen     1
9131               topolev     2
9132                daniil     2
9133         weather-induc     1
9134                bother     9
9135             gorbachov     1
